cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,cluster_size,member_queries,member_expected_answers,member_notes,embedding_backend,block_key
1,FMSA,Chiller,Knowledge Query,retrospective,List all failure modes of asset Chiller.,list all failure modes of <asset>.,"The failure modes for Chiller are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query,2,"['List all failure modes of asset Chiller.', 'List all failure modes of asset Chiller 6.']","[""The failure modes for Chiller are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']"", ""The failure modes of asset Chiller 6 are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]","['Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
2,FMSA,Chiller,Knowledge Query,retrospective,List all installed sensors of asset Chiller 6.,list all installed sensors of <asset> <num>.,"The installed sensors of asset Chiller 6 are: Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.",Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query,1,['List all installed sensors of asset Chiller 6.'],"['The installed sensors of asset Chiller 6 are: Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.']",['Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
3,FMSA,Chiller,Knowledge Query,retrospective,List all failure modes of Chiller 6 that can be detected by temperature sensors.,list all failure modes of chiller <num> that can be detected by temperature sensors.,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,6,"['List all failure modes of Chiller 6 that can be detected by Chiller 6 Supply Temperature.', 'List all failure modes of Chiller 6 that can be detected by temperature sensors.', 'List all failure modes of Chiller 6 that can be detected by temperature sensors and power input sensors.', 'Get failure modes for Chiller 6 and only include in final response those that can be monitored using the available sensors.', 'Are there any failure modes of Chiller 6 that can be predicted by monitoring the vibration sensor data?', 'What are the failure modes of Chiller 6 that can be identified by analyzing the data from the available sensors?']","[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']"", ""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']"", ""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']"", ""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']"", ""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']"", ""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]","['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query', 'Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query', 'Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query', 'Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query', 'Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query', 'Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
4,FMSA,Chiller,Knowledge Query,retrospective,List all sensors of Chiller 6 that are potentially relevant to Compressor Overheating.,list all sensors of chiller <num> that are potentially relevant to compressor overheating.,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['List all sensors of Chiller 6 that are potentially relevant to Compressor Overheating.'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
5,FMSA,Chiller,Knowledge Query,prescriptive," If compressor overheating occurs for Chiller 6, which sensor should be prioritized for monitoring this specific failure?","if compressor overheating occurs for chiller <num>, which sensor should be prioritized for monitoring this specific failure?","the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.]",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"[' If compressor overheating occurs for Chiller 6, which sensor should be prioritized for monitoring this specific failure?']","['the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.]']",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
6,FMSA,Chiller,Knowledge Query,retrospective," If Evaporator Water side fouling occurs for Chiller 6, which sensor is most relevant for monitoring this specific failure?","if evaporator water side fouling occurs for chiller <num>, which sensor is most relevant for monitoring this specific failure?","the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"[' If Evaporator Water side fouling occurs for Chiller 6, which sensor is most relevant for monitoring this specific failure?']","['the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ']",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
7,FMSA,Chiller,Knowledge Query,retrospective,"Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?","purge unit of chiller <num> have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?",the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?']",['the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
8,FMSA,Chiller,Knowledge Query,prescriptive,Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.,generate a machine learning recipe for detecting overheating failure for chiller <num>. result should include feature sensors and target sensor.,the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,['Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.'],['the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
9,FMSA,Chiller,Knowledge Query,retrospective,"When compressor motor of Chiller 6 fails, what is the temporal behavior of the power input?","when compressor motor of chiller <num> fails, what is the temporal behavior of the power input?",the answer should describe the temporal behavior of the power input of Chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,2,"['When compressor motor of Chiller 6 fails, what is the temporal behavior of the power input?', 'When power input of Chiller 6 drops, what is the potential failure that causes it?']","['the answer should describe the temporal behavior of the power input of Chiller 6', ""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]","['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query', 'Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
10,FMSA,Chiller,Knowledge Query,retrospective,"When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?","when the liquid refrigerant evaporator temperature of chiller <num> drops, what failure is most likely to occur?","the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,1,"['When the Liquid Refrigerant Evaporator Temperature of Chiller 6 drops, what failure is most likely to occur?']","[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('FMSA', 'Chiller', 'Knowledge Query')"
