meta_cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,source_refined_cluster_ids,source_refined_cluster_count,cluster_size,member_queries,member_expected_answers,member_notes,action_signature,param_sensitive,meta_key,merge_profile
1,FMSA,Chiller,Knowledge Query,predictive,Are there any failure modes of Chiller 6 that can be predicted by monitoring the vibration sensor data?,are there any failure modes of chiller 6 that can be predicted by monitoring the vibration sensor data?,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[7],1,1,['Are there any failure modes of Chiller 6 that can be predicted by monitoring the vibration sensor data?'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_OTHER,False,"('FMSA', 'Chiller', 'Knowledge Query', 'predictive', 'ASK_OTHER', 'are there any failure modes of chiller <NUM> that can be predicted by monitoring the vibration sensor data?')",aggressive_template_collapse_v1
2,FMSA,Chiller,Knowledge Query,prescriptive,Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.,generate a machine learning recipe for detecting overheating failure for chiller 6. result should include feature sensors and target sensor.,the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[13],1,1,['Generate a machine learning recipe for detecting overheating failure for Chiller 6. Result should include feature sensors and target sensor.'],['the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_CREATE,False,"('FMSA', 'Chiller', 'Knowledge Query', 'prescriptive', 'ASK_CREATE', 'generate a machine learning recipe for detecting overheating failure for chiller <NUM>. result should include feature sensors and target sensor.')",aggressive_template_collapse_v1
3,FMSA,Chiller,Knowledge Query,prescriptive,"I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,","i want to build an anomaly model for identifying a chiller trip failure for pokmain chiller 6. provide me a list of sensors that i should use, along with the temporal behavior,","the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[17],1,1,"['I want to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. Provide me a list of sensors that I should use, along with the temporal behavior,']","['the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,']",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'prescriptive', 'ASK_LIST', 'i want to build an anomaly model for identifying a chiller trip failure for pokmain chiller <NUM>. provide me a list of sensors that i should use, along with the temporal behavior,')",aggressive_template_collapse_v1
4,FMSA,Chiller,Knowledge Query,prescriptive," If compressor overheating occurs for Chiller 6, which sensor should be prioritized for monitoring this specific failure?","if compressor overheating occurs for chiller 6, which sensor should be prioritized for monitoring this specific failure?","the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.]",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[9],1,1,"[' If compressor overheating occurs for Chiller 6, which sensor should be prioritized for monitoring this specific failure?']","['the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.]']",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'prescriptive', 'ASK_LIST', 'if compressor overheating occurs for chiller <NUM>, which sensor should be prioritized for monitoring this specific failure?')",aggressive_template_collapse_v1
5,FMSA,Chiller,Knowledge Query,retrospective,"Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?","purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?",the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[12],1,1,"['Purge unit of chiller 6 have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?']",['the answer should be a plan by the maintenance experts to early detect the failure of purge unit of chiller 6. the answer should include the sensors that can be used to detect the failure of purge unit of chiller 6'],['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_ANOMALY+ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_ANOMALY+ASK_LIST', 'purge unit of chiller <NUM> have possibility to excess purge, what is the plan by the maintenance experts to early detect the failure?')",aggressive_template_collapse_v1
6,FMSA,Chiller,Knowledge Query,retrospective," If Evaporator Water side fouling occurs for Chiller 6, which sensor is most relevant for monitoring this specific failure?","if evaporator water side fouling occurs for chiller 6, which sensor is most relevant for monitoring this specific failure?","the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[10],1,1,"[' If Evaporator Water side fouling occurs for Chiller 6, which sensor is most relevant for monitoring this specific failure?']","['the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ']",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'if evaporator water side fouling occurs for chiller <NUM>, which sensor is most relevant for monitoring this specific failure?')",aggressive_template_collapse_v1
7,FMSA,Chiller,Knowledge Query,retrospective,List all failure modes of asset Chiller.,list all failure modes of asset chiller.,"The failure modes for Chiller are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query,[1],1,2,"['List all failure modes of asset Chiller.', 'List all failure modes of asset Chiller 6.']","[""The failure modes for Chiller are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']"", ""The failure modes of asset Chiller 6 are: ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'list all failure modes of asset chiller.')",aggressive_template_collapse_v1
8,FMSA,Chiller,Knowledge Query,retrospective,List all failure modes of Chiller 6 that can be detected by Chiller 6 Supply Temperature.,list all failure modes of chiller 6 that can be detected by chiller 6 supply temperature.,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[3],1,1,['List all failure modes of Chiller 6 that can be detected by Chiller 6 Supply Temperature.'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'list all failure modes of chiller <NUM> that can be detected by chiller <NUM> supply temperature.')",aggressive_template_collapse_v1
9,FMSA,Chiller,Knowledge Query,retrospective,List all failure modes of Chiller 6 that can be detected by temperature sensors and power input sensors.,list all failure modes of chiller 6 that can be detected by temperature sensors and power input sensors.,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[5],1,1,['List all failure modes of Chiller 6 that can be detected by temperature sensors and power input sensors.'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'list all failure modes of chiller <NUM> that can be detected by temperature sensors and power input sensors.')",aggressive_template_collapse_v1
10,FMSA,Chiller,Knowledge Query,retrospective,List all failure modes of Chiller 6 that can be detected by temperature sensors.,list all failure modes of chiller 6 that can be detected by temperature sensors.,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,[4],1,1,['List all failure modes of Chiller 6 that can be detected by temperature sensors.'],"[""the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']""]",['Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query'],ASK_LIST,False,"('FMSA', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'list all failure modes of chiller <NUM> that can be detected by temperature sensors.')",aggressive_template_collapse_v1
